"HolderAddress","Balance","PendingBalanceUpdate"
"0x06a43619f4e5f4d41a6eef53801effc285062389","1,433,276","No"
"0x9e83ed3c6d977d4da3e6cee649fdf2737616b69d","1,433,276","No"
"0x4ecc3d8d6d0e1c6582ed211a9ddd195fa7881e33","1,433,276","No"
"0xdfae4c01d8f84a52634aedc092321905430fda0c","1,428,607.462","No"
"0x25144c511cfef9bf12f992d3a75f51aa92cc5ed9","1,418,756.775","No"
"0xc51fe061327451282e26b1816aa0f77b7a16d908","1,406,948","No"
"0x7b9d18f07500451cc41cd0c83a66b1a07dad9a70","1,406,810.772","No"
"0xc07e43c6253e333e5bf58cb288d3e9aad7c51d93","1,401,353.424","No"
"0x2a05ce703052fdbc758cd7116bf3a70a9fea4a37","1,399,944","No"
"0xb85e059c88698e0f064b7ec514b96cf653c20a85","1,399,944","No"
"0xe5e68b2722912d4bd9c8a0bef2c25e6cfb5bee4d","1,394,367.115","No"
"0x853080990583d7ab335ceb09bb0fa7edd6ede77d","1,387,299.909","No"
"0xe22e102feca24e4f1ca2cb1a93805f7090cd17ed","1,386,018.373","No"
"0x610969ee92eaca6ca3c266581ef36beb57ffae24","1,380,276","No"
"0x28189d92c0eba7013e60b7de0b19e8b2cc67480a","1,373,735.75","No"
"0x1d611c0bc4b256e8df696f3dffaa1ebc82370686","1,341,910.675","No"
"0x94d4fc80d53bfe5275576eb4015ca90c7c926084","1,330,680.98","No"
"0x673743cc4970f2662a3a7db2037e9b8dddebf79a","1,328,267.131","No"
"0x2d449b891665506c7793134f7b9d002a4c94ddae","1,327,121.758","No"
"0xce0e4b1e5d10bf270afe9bdf8f36c506290d1626","1,318,979.039","No"
"0x547c152c399f48e4308c51f2c106e1ac9125855b","1,308,884.222","No"
"0xc111ade92ab32c5cd6155b1754e0fe43200ca3db","1,300,260","No"
"0x89e389a228473d5410888e2fd692c0e16b55a1dd","1,299,948","No"
"0xed9c24b6d8d5c2f0842dda3e08dcb07211ecef6e","1,299,948","No"
"0x4d98a0efbc8530cfbc809b2701ae3586d7213f10","1,294,595.214","No"
"0xe0a3fcdf74f1be4c77dac563589ed21ca19f518a","1,291,811.382","No"
"0x73a1fdd2b83c92be37f17d74587066f515f52d75","1,285,999.823","No"
"0x6171bd910eab2152ecfccee4fd31c8672d393733","1,285,377.016","No"
"0xa52aa39301e0b431761ad173309c0af4da70dcf8","1,275,955.92","No"
"0xef2ccb1490cfbd1db18a571543d0510b850c0e10","1,274,959.984","No"
"0x5abf4d2073dacf0b1485d093f2b07fc7a4d1b7d8","1,274,835.391","No"
"0xa8dc175f4be769312dab5db530ff149ba50c63f4","1,265,968.766","No"
"0x3b922c5add40ee2746cf4c23566d915b30c2cf83","1,257,498.856","No"
"0xdff620af7c368c6e06f45f9d77aa8a6a64ee3b86","1,257,040.512","No"
"0x16f5908923c6862a5e385a4272a718b0ecd9e3a3","1,253,584","No"
"0x60eb418bcaa0e0ced8b8eaec437397ea7870adf5","1,253,584","No"
"0x747a89d4ec05fb4a1596b4cc3ebd303d994a2d78","1,252,996.605","No"
"0xe1740b384a6d4674b2e147e433083a1deb54bbe6","1,225,506.051","No"
"0x2efd654e82729f1fe9c12c2082e2607ca15362bc","1,222,378.438","No"
"0x70313e5ba9058439fb3b1f937c4c2efeff976a5e","1,220,244","No"
"0xd1f38a4303fec055ca39a0d150e7094a47f78e40","1,215,961.636","No"
"0x065134fd58d6449283a80f1cc018393c945635ed","1,215,691.033","No"
"0x943063115810efb803f30bfbec6b4c609b6c7a88","1,201,423.374","No"
"0x80a6ec2d25c96647f7189024cff87a21b6fadbd3","1,196,286.351","No"
"0x623b84a82e9e881b3d5c43105f701b5f7567b5b3","1,188,517.195","No"
"0x74d79dd6458130b8d5de12021a880a265e2546cd","1,164,576.569","No"
"0xee94aacb1842032a811b86255d48e273276611fe","1,155,377.97","No"
"0x88869677ee982a95e09aa558fe90eed838c78fd2","1,150,464.777","No"
"0x275789824565264a145d787b628f6aec23f55584","1,145,154.069","No"
"0x3e066c395e15dc8ef4d086aadf90dfd70fd86cf0","1,144,779.79","No"
"0xf1f25925b27a89909fe799b30d82be2ce38fb0e6","1,127,198.857","No"
"0xbe7ee3c4730393cec11b36d362c8a69325e82a3d","1,122,564.121","No"
"0x4e8a342d6cb143b4ac9a8fc8ec5466e3aaf23a89","1,122,242.686","No"
"0x860e1c65fce7aa9bc8689d352161d50980e9871c","1,120,451.04","No"
"0x66cdf7827fbf13b90deb247bba32bc82fabc7e7c","1,120,171.126","No"
"0xfd531d5d00268eaef2a7618ef820297cc69f1741","1,120,027.204","No"
"0x89bfb094aca79755a446b945f1712b672df1d9c7","1,117,339.551","No"
"0x958fffce4e95510f56d585726d699c15de853c3c","1,116,880.526","No"
"0xaed853d98d59731510bbd200027cf5e9fad2d1fc","1,112,948.306","No"
"0x69d6ca3cb1a81f32a927e3a551d7e95742357ffa","1,104,635.599","No"
"0x0eeef981648fcd3dba7ada8acb5b71435453ff0e","1,101,632.583","No"
"0x128c93f8e08b53828f1ba522c10bb789d957967f","1,096,357.66","No"
"0x1b1f1b64a9f680406a8e0a6a8ab03cd7929fa29a","1,095,809.48","No"
"0x8aceccd3fda5f3cce1ec91d0df750d0d763dda17","1,094,811.586","No"
"0xec26738627b1ceeb9c44ff5ec16fd1a6eb18d787","1,092,346.186","No"
"0xd306d3e49e635093a3c3e213660a33b40546f19e","1,084,721.712","No"
"0x21177b45735b1c4673aa00ae3986367973d4659f","1,080,216","No"
"0xdd792b43f2e26069699b7d3fe197b7eba6653ef1","1,080,216","No"
"0x31db664e62733a4d0a7b9d519658fcbca00858ab","1,078,231.551","No"
"0x714cf0085ea63196151eed6b1034d8890ac59d1d","1,073,431.824","No"
"0xd6c83709c70766012ea113fffb10df86c1b7dc11","1,065,588.292","No"
"0x5204f65f2fef76d391b0e4213fa0a8a7c44a12ae","1,058,944.02","No"
"0xfb2ead100c4c3f538fa7aad711135714eb786883","1,055,591.181","No"
"0x15aff22b811f9832ac1c7fe2a05e9d7f306bcde6","1,053,544","No"
"0x1f1fdbadd2c6a48093143cc2be2bff9d3919058f","1,050,109.838","No"
"0x9fcec84f2aba24528cedbce02a2b75444943aa4b","1,048,733.282","No"
"0xe84789eb178db6c59445bb181e1762313abfbc7b","1,047,301.697","No"
"0xaedba6688b50d51214f25c31c7b6ec0060bc911e","1,046,699.709","No"
"0x9b95de91683bbf93925781f5473e0c46e741f037","1,043,137.217","No"
"0x88f087db85d7c729032accb8c6aea74382806295","1,042,562.613","No"
"0x6fe47617b6715485a30f3b1b570994bdaa7257ce","1,041,795.698","No"
"0x77c69a5f7fdc06b50de0bb4fd2322a974ef23621","1,036,682.148","No"
"0x79b2cbd78bec587d78f58df991f409bea1a2ea8b","1,033,540","No"
"0xf7b07c5dc94b0316e3bb8acf2ce79fd7de1480e5","1,030,301.81","No"
"0x8c0b0a9acb88268f7f2e56d315bd47643625740d","1,028,122.11","No"
"0x7886a2e3bf5c054bab7541caef99f5db1377dc3a","1,027,027.337","No"
